code;title;description;language
MC-IA;Industry-Academia Partnerships and Pathways (IAPP);;en
CP-CSA-Infra-PP;Construction of New Research Infrastructures - Preparatory Phase;;en
CAREER;Support for training and career development of researchers;;en
CIP-ICT-PSP-TN;CIP-Thematic Network - ICT;;en
MC-ITN;Networks for Initial Training (ITN);;en
CP-TP;Collaborative Project targeted to a special group (such as SMEs);;en
BSG-CSO;Research for Civil Society Organisations (CSOs);;en
RFCS;Research Fund for Coal and Steel;;en
MC-IEF;Intra-European Fellowships (IEF);;en
CIP-ICT-PSP-TN(EC);CIP-Thematic Network Eligible Cost - ICT;;en
MC-IO;International Outgoing Fellowships (IOF);;en
AM-SSA;Accompanying measures implemented as Specific Support Actions;;en
DS;Research Infrastructure-Design studies;;en
MSCA-COFUND-DP;Doctoral programmes;;en
CP-IP-TP;Collaborative Project (large-scale integrating project targeted to SME);;en
MSCA-ITN-ETN;Training Networks;;en
ERA-NET-Cofund;ERA-NET Cofund;;en
MC-IE;Intra-European Fellowships (IEF);;en
MSCA-IF-GF;Global Fellowships;;en
Cooperative;SMEs-Co-operative research contracts;;en
CP-CS;Integrating Activities / e-Infrastructures / Preparatory phase;;en
169;Joint implementation of well identified national research programmes;;en
CP-CSA-INFRA;Integrating activities / e-infrastructures / preparatory phase;;en
JRC;Joint Research Centre research;;en
LFC;Access to Research Infrastructures;;en
CP-CSA-PCP;Pre Commercial Procurement;;en
JTI-CP-FCH;Joint Technology Initiatives -  Collaborative Project (FCH);;en
SGA-CSA;;;en
Collective;SMEs-Collective research projects;;en
ACT;Association contracts;;en
CP-SoU;CP-Scale of Unit;;en
MC-IRG;International Re-integration Grants (IRG);;en
MSCA-COFUND-FP;Fellowship programmes;;en
ERC-COG;Consolidator Grant;;en
ACM;Preparatory, accompanying and support measures;;en
MSCA-IF-EF-RI;RI - Reintegration panel;;en
CP-SI;Collaborative project for specific cooperation actions dedicated to international cooperation partner countries (SICA);;en
JTI-CP-IMI;Joint Technology Initiatives - Collaborative Project (IMI);;en
IPC;Industrial pilot contracts;;en
SCF;Marie Curie actions-Series of events;;en
MC-IR;International Re-integration Grants (IRG);;en
TALI;Euratom Transnational Access;;en
BUR;Bursaries, grants, fellowships;;en
ERC-ER1;Experienced researchers 1st stage;;en
CRAFT;Co-operative research projects;;en
BBI-IA-DEMO;;;en
THN;Thematic network contracts;;en
ECSEL-RIA;;;en
MSCA-IF-EF-ST;Standard EF;;en
CSA-SA;Support actions;;en
CSA-CA-INFSO-FET;Coordination (or networking) actions INFSO - FET;;en
STU;Study contracts, assessment contracts;;en
COFUND-EJP;COFUND (European Joint Programme);;en
ERC-ER2;Experienced researchers 2nd stage;;en
MC-AWARDS;Awards (AWARDS);;en
GIC;Grants for industrialized countries;;en
DS-SSA;Design studies implemented as Specific Support Actions;;en
CP-FP-SICA;Small/medium-scale focused research project for specific cooperation actions dedicated to international cooperation partner countries(SICA);;en
IIF;Marie Curie actions-Incoming International Fellowships;;en
CSA-CA;Coordination (or networking) actions;;en
OIF;Marie Curie actions-Outgoing International Fellowships;;en
SSA Specific Support;;;en
CA;Coordination action;;en
CSA-ERANET;ERANET;;en
BBI-IA-FLAG;;;en
SER;Service contracts;;en
JTI-CS;Joint Technology Initiatives - Clean Sky;;en
JTI-CSA-FCH;Joint Technology Initiatives - Coordination and Support Acti;;en
TA;Research Infrastructure-Transnational access;;en
BSG-SME;Research for SMEs;;en
SC;High Level Scientific Conference;;en
MC-IOF;International Outgoing Fellowships (IOF);;en
ERC-YR;Young researchers;;en
EIF;Marie Curie actions-Intra-European Fellowships;;en
SME-1;SME instrument phase 1;;en
CP-IP-SICA;Large-scale integrating project for specific cooperation actions dedicated to international cooperation partner countries(SICA);;en
EXT;Marie Curie actions-Grants for Excellent Teams;;en
CP-FP-INFSO-FET;Small or medium-scale focused research project INFSO - FET;;en
SME-2;SME instrument phase 2;;en
ERC-SyG;Synergy grant;;en
CP;Collaborative project (generic);;en
MSCA-ITN-EID;European Industrial Doctorates;;en
CIP-EIP-EI-TNS;CIP-EIP - EI (Europe INNOVA) - Thematic Network Support;;en
ERC-LVG;ERC low value grant;;en
BSG-SME-AG;Research for SME associations/groupings;;en
IA-CA;Integrating activities implemented as Coordination Actions;;en
STIP;Specific Targeted Innovation Project;;en
RGI;Research grants (individual fellowships);;en
MSCA-ITN-EJD;European Joint Doctorates;;en
EXC;Marie Curie actions-Chairs;;en
MC-IAPP;Industry-Academia Partnerships and Pathways (IAPP);;en
MSCA-IF-EF-CAR;CAR - Career Restart panel;;en
CIP-EIP-EI-TN;CIP-EIP - EI (Europe INNOVA) - Thematic Network;;en
ERC-STG;Starting Grant;;en
MSCA-RISE;Marie Sk?odowska-Curie Research and Innovation Staff Exchange (RISE);;en
JTI-CP-ARTEMIS;Joint Technology Initiatives - Collaborative Project (ARTEMIS);;en
CON;Coordination of research actions;;en
CP-CSA-Infra;Combination of CP and CSA;;en
CSA-SA(POC);Supporting action (Proof of Concept);;en
CP-CSA;Combined Collaborative Project and Coordination and Support Action;;en
EXA;Marie Curie actions-Excellence Awards;;en
CPCSA;Combined Collaborative Project and Coordination and Support Action;;en
STREP;Specific Targeted Research Project;;en
CP-IP;Large-scale integrating project;;en
CLR;Collective research projects;;en
CP-CSA-Infra-IP;Construction of New Research Infrastructures - Implementation Phase;;en
RIA;Research and Innovation action;;en
CSA-ERA-PLUS;ERANETPLUS;;en
RIN;Marie Curie actions-Research Training Networks;;en
CIP-ICT-PSP-BPN;CIP-Best Practice Network;;en
CP-SICA;Collaborative project for specific cooperation actions dedicated to international cooperation partner countries (SICA);;en
CIP-IEE-PROMO-BWI;CIP-Promotion Building WorkForce Projects;;en
TFGCTC;Grants for co-operation with third countries;;en
SSA;Specific Support Action;;en
CNC;Cooperation network contracts;;en
CND;Communication network development;;en
CNI;Research Infrastructure-Construction of new infrastructures ;;en
CP-SICA-INFSO;Collab. Proj. Specific International Cooperation Actions (SICA);;en
TOK-IAP;Transfer of Knowledge-Industry;;en
JTI-171;Joint Technology Initiatives;;en
CRS;Cooperative research contracts;;en
CSA-ERA-Plus;ERA-NET Plus;;en
DEF;Definition Phase Project;;en
CIP-ICT-PSP-PA;CIP-Pilot Type A;;en
CP-FP-TP;Collaborative Project (small or medium-scale focused research project targeted to SME);;en
I3;Research Infrastructure-Integrated Infrastructure Initiative;;en
RSSF;Risk sharing finance facility;;en
CIP-ICT-PSP-PB;CIP-Pilot Type B;;en
CIP-IEE-MRP;CIP-Market replication projects;;en
DEM;Demonstration contracts;;en
EAT;Exploratory awards (thematic networks);;en
FPA;Framework Partnership Agreement;;en
DEP;Science and Society-Descartes prize;;en
EAW;Exploratory awards;;en
ERC-CG;ERC Consolidator Grants;;en
CSC;Cost-sharing contracts;;en
CSA;Coordination & support action;;en
CP-IP-INFSO-FET;Large-scale integrating project INFSO - FET;;en
CIP-IEE-Promo-P;CIP-Promotion Projects;;en
IA;Innovation action;;en
EAD;Exploratory awards (demonstration);;en
MC-CIG;Support for training and career development of researcher (CIG);;en
ERC-ADG;;;en
FCH2-RIA;;;en
ERC-SG;ERC Starting Grant;;en
IP;Integrated Project;;en
CSA-S;Support actions;;en
BBI-RIA;;;en
CIP-IEE-Promo-A;CIP-Agencies;;en
LCF;Marie Curie actions-Large conferences;;en
MC-ERG;European Re-integration Grants (ERG);;en
JTI-CP-ENIAC;Joint Technology Initiatives - Collaborative Project (ENIAC);;en
MC-IIFR;International incoming fellowships (Return phase);;en
MC-IIF;International Incoming Fellowships (IIF);;en
CSA-E;ERANETplus;;en
CNI-SSA;Construction of new infrastructures implemented as Specific Support Actions;;en
CSA-C;Coordination (or networking) actions;;en
EST;Marie Curie actions-Early-stage Training;;en
ERC-POC;Proof of Concept Grant;;en
CIP-EIP-TN-PIE;CIP-Eco-Innovation - Thematic Networks-PIE (Pro Inno Europe);;en
FUSION;Administrative Contracts (FUSION);;en
CP-FP-INFSO;Small or medium-scale focused research project INFSO (STREP);;en
PoC;Proof of Concept;;en
MC-COFUND;Co-funding of Regional, National and International Programmes (COFUND);;en
RTN;Marie Curie actions-Research Training Networks;;en
TOK-DEV;Transfer of Knowledge-Development;;en
ERC-AG;ERC Advanced Grant;;en
IRG;Marie Curie actions-International re-integration grants;;en
ART169;Article 169;;en
notAvailable;No contract type;;en
NoE;Network of Excellence;;en
CIP-EIP-TN-EI;CIP-Eco-Innovation - Thematic Networks-EI (Europe Innova);;en
OPC;Operations contracts;;en
CSA-SA-INFSO-FET;Support actions INFSO - FET;;en
Infrastr-171;Construction of new infrastructures ;;en
IIFR;Incoming International Fellowships (Return Phase);;en
ERG;Marie Curie actions-European Re-integration Grants;;en
CP-FP-TP-SICA;Collaborative Project for Specific Cooperation Actions dedicated to International Actions;;en
NET;Research network contracts;;en
CP-FP;Small or medium-scale focused research project;;en
MC-IRSES;International research staff exchange scheme (IRSES);;en
IA-I3;Integrating activities implemented as Integrated Infrastructure Initiatives;;en
ECSEL-IA;;;en
CIP-EIP-EI-PMRP;CIP-Eco-Innovation - Pilot and market replication projects;;en
CIP-EIP-SPA;CIP-Agencies Projects;;en
TA-SSA;Transnational access implemented as Specific Support Actions;;en
TOK;Marie Curie actions-Transfer of Knowledge;;en
